Hospital,username,review,stars_given,Branch location,Time
Medcy IVF - Best Fertility Clinic in Hyderabad,Sravya sri Mallika,"Medcy Ivf is one of the best fertility clinic in Hyderabad, Dr.B.Sireesha Rani is a very Kind enough doctor who treats patients with very much patience and concern... I highly recommend Medcy ivf for all fertility treatments in Hyderabad...",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,MAHADEV Creatives,"Medcy IVF, Hyderabad is a Great Medical consultation for  infertility problems to achieve the dream of parenthood. Well experienced Doctors and staff offering good treatment  & friendly guidance.",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Appala naidu,"Medcy ivf is the best fertility clinic in hyd. Doctors are good. Care staff... And grow clinic to more patients  day by day, treatment is super, tqu dr. Sireesha rani mam.",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,shiva kumar,Medcy ivf Hyderabad is given highest quality of care and best treatment to us. We have no doubt taht we had the best doctors and co operative staff. A huge thanks to everyone.,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Meesala Adilaxmi,"Medcy ivf centre in hyderabad, which provides a world class infertility treatment with highest success rates, very timely response with doctor and staff, thank you so much all of you",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Kavya Kavya,Thankyou Medcy IVF hyderabad for providing us with the best service and health care resources at the most affordable and just price.it is truly difficult these days to hope for health care facilities without expensive insurance. I am greatful to doctors like you who never leave the side of the ill and the one in need of help.,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,ramesh shalini,Medcy IVF Hyderabad  is very good hospital  for fertility  problems in Hyderabad.our relatives got positive  results after  treatment.,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Prakash Bondilli,Medcy IVF centre best IVF centre in Hyderabad.Patients are happy positive achives them. Thank you medcy IVF .,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Pendurti Amulya,Medcy ivf centre best Fertility centre in hyderabad. Woder full support given by entre it. Thank you to Dr. Sireesha rani madam,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Dodda Glory,Medcy ivf centre is the most advanced fertility clinic full qualified doctors very timely response with doctors and staff,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Vizag IVF Clinic,"Medcy IVF,HYD is one of the best infertility center in twin cities with huge success rate.",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Sirisha Perla,"Best treatment in medcy IVF ,,doctor sireesha madam is very good doctor in hyderabad.patient care is good",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Anitha Perla,Medcy ivf in Hyderabad is the best clinic  and giving such positive response have been treating by sireesha Rani mam,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Gyanu Piradhi,"Medcy is the best of the clinic in hyd, more  patients are treatment continue to medcy ivf ,they have good result in treament ..soo  all off interested to first thinking medcy ivf  .....So happy them ...",5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Dhanusha Dadi,Thank you medcy IVF hyderabad for all the kind support and everything .very co-operate staff and understands patients problem very well. Very good hospital and good service.,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,Paluri Suresh,Medcy ivf centre top infritily hospatil in hydrabad the hospatil has excellent equipment  are extremely happy with doctor and staff thank u medcy,5.0,Telangana 500032,a week ago
Medcy IVF - Best Fertility Clinic in Hyderabad,sankar madireddy,Good fertility centre in Hyderabad and good ambience and friendly staff,5.0,Telangana 500032,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Kulsum Fatima,"My Son got admitted under Dr Sheik Farhan Rashid, I must say He is not only the best doctor but also simple human being.And about the hospital…..from booking an appointment till the end,(discharge process) everything went smooth. The staff, nurses House keeping, everyone has a warm and welcoming smile. Special thanks to the compassion and empathy of all the nurses who were available round the clock.Coming to the ER, the emergency room staff needs  a little improvement when it’s about attending the patient. There is a need of more doctors in Emergency.",4.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Kishore Purohit,Excellent experience especially the doctors and administrative staff were very professional. Dr Satyakiran is an excellent professional explained the procedure very detailed and infused confidence in us by his calm demeanor. Very happy with overall experience.,5.0,Telangana 500034,2 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Prashanth Sripuram,"Sure! Here's a template you can use for writing a good review for a doctor:---Title: Excellent Care and Expertise!Review: I recently visited Dr. Natasha Bagga for my baby and I couldn't be happier with the care I received. Dr. Natasha was incredibly knowledgeable, attentive, and compassionate throughout the entire process. They took the time to listen to my concerns, thoroughly explain the diagnosis and treatment options, and made me feel comfortable every step of the way.The staff at the clinic was also friendly and efficient, making the overall experience pleasant. I highly recommend Dr. Natasha to anyone in need of medical care. Thank you for your exceptional service!---Feel free to personalize it based on your specific experience and the doctor's name.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Cherukupalli Ravi Chandra,"Highly recommend this place highly for child care. Dr Y Anupama and the team has seen my child and has provided best care, the follow up was great. Quite experienced, puts child at ease while examining and treating and in no time my child was in path of recovery. Doctor is patient, explained the progress well, answered and addressed our concerns well. Top notch paediatrician.. highly recommend.The hospital is world class, well equipped and found everyone from house keeping to nursing staff to doctors polite, receptive and above all highly professional and diligent to carry out their duties. The room was well designed keeping the little ones in mind, ambient and maintained pristine. From the examination at ER to helping in allocating room, the follow up and the overall experience I would say this hospital deserves more than a 5 star. Thank you Rainbow Hospitals, the team and the staff for healing my child well 🙏",5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Tharun Gv,Dr. Harish Jayaram really helped my son to recover from infection in the bladder using procedure(cystoscopy).Doctor found the problem by MCUG scan where many doctors in Hyderabad couldn’t find the problem. This helped my kid recover soon with a procedure.Rainbow Hospitals is a great place for paediatric care and Private room maintenance is awesome. Sai Kumar was helpful in the room maintenanceThank you sir 🙏🏼#DoctorHarishJayaram,5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",hrushi goud,Everything here is quite good . Doctors are very friendly the diagnosis and treatment are both very accurate . Rooms are clean services are also very good and punctual .,4.0,Telangana 500034,2 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",honey sweety,My doctor Dr.Sasikala mam she is incredibly knowledgeable and took time to answer all my questions during every visit and her team is too friendly and supportive 24X7. Always had a positive experience with them. Also the hospital services and their staff were good in all ways.The facilities are well-maintained. Highly recommended ! Thank you.,5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Ramu Pydimarla,Was admitted for the wife delivery under the consultation of Dr Himabindu madam.the process and the doctor was top notch and they were explaining everything with patience after the child berth shifted to room and the nursing care was too good and they took care baby and mother very Vell and the floor manager mrs Gulshan was very helpful in resolving all our queries.overall the best experience.,5.0,Telangana 500034,5 days ago
